grievance_id,created_at,channel,citizen_text,category,location,latitude,longitude,department,severity,urgency,public_impact,vulnerability,recurrence,priority_score,priority,status,duplicate_cluster_id,related_complaint_count,semantic_similarity,sentiment,sla_hours,recommended_action,actual_resolution_hours,systemic_cluster
GRV-1262,2026-08-06T19:02:00,Social Media,A damaged electric pole is leaning dangerously near homes. A local shops may be affected.,Public Safety,Charminar,17.35977,78.47442,Public Safety Department,7,8,4,7,1,57,Medium,New,CL-402,5,0.66,Frustrated,6,Dispatch safety inspection team,,No
GRV-1263,2026-07-19T13:57:00,Mobile App,No water supply in our locality for 6 days. A elderly resident may be affected.,Water Supply,Gachibowli,17.437691,78.352634,Water Supply Department,9,8,8,9,4,78,High,In Progress,CL-222,5,0.62,Frustrated,16,Dispatch field inspection team,,No
GRV-1264,2026-07-27T02:51:00,Web,Water pipeline near Kondapur appears damaged and residents have no supply.,Water Supply,Kondapur,17.465053,78.368293,Water Supply Department,3,5,7,4,5,46,Low,In Progress,CL-427,4,0.89,Urgent,7,Escalate to Zone Water Officer,,No
GRV-1265,2026-08-10T03:21:00,Mobile App,A large pothole has formed near Madhapur and is dangerous for vehicles.,Roads,Madhapur,17.448948,78.392972,GHMC Roads Department,7,8,5,5,4,60,Medium,In Progress,CL-151,2,0.58,Urgent,40,Barricade hazardous section,,No
GRV-1266,2026-07-28T22:56:00,Call Center,Repeated complaints about the damaged road have not been resolved.,Roads,Madhapur,17.445516,78.389003,GHMC Roads Department,5,3,3,3,6,40,Low,Resolved,CL-410,6,0.74,Urgent,38,Barricade hazardous section,18.7,No
GRV-1267,2026-08-10T03:30:00,Walk-in,Repeated complaints about the damaged road have not been resolved. A person with disability may be affected.,Roads,Kukatpally,17.484832,78.4109,GHMC Roads Department,8,3,7,9,2,60,Medium,In Progress,CL-135,6,0.42,Frustrated,57,Barricade hazardous section,,No
GRV-1268,2026-08-10T15:31:00,Walk-in,A broken road section is causing traffic problems near Kukatpally.,Roads,Kukatpally,17.484139,78.410135,GHMC Roads Department,4,8,5,8,4,56,Medium,Assigned,CL-263,3,0.45,Negative,56,Escalate to local engineering officer,,No
GRV-1269,2026-08-16T23:40:00,Call Center,A broken streetlight is creating a safety risk at night. A local shops may be affected.,Public Safety,Gachibowli,17.442289,78.347187,Public Safety Department,6,6,2,3,7,49,Low,New,CL-426,4,0.65,Negative,2,Escalate to local safety officer,,No
GRV-1270,2026-08-07T15:08:00,Walk-in,We are facing repeated power cuts in Kondapur. A residential community may be affected.,Electricity,Kondapur,17.462223,78.366401,Electricity Distribution Department,8,6,3,7,2,56,Medium,Assigned,CL-245,5,0.77,Urgent,14,Inspect transformer/feed line,,No
GRV-1271,2026-08-10T10:10:00,Mobile App,Power has been out in our area for 7 hours. A elderly resident may be affected.,Electricity,Gachibowli,17.443398,78.349424,Electricity Distribution Department,8,6,7,9,2,66,Medium,In Progress,CL-133,4,0.74,Frustrated,14,Inspect transformer/feed line,,No
GRV-1272,2026-07-15T11:39:00,Walk-in,There is an open road crack/pothole near a school in Miyapur. A school nearby may be affected.,Roads,Miyapur,17.497248,78.353046,GHMC Roads Department,8,9,9,4,3,70,High,Assigned,CL-418,1,0.84,Negative,60,Escalate to local engineering officer,,No
GRV-1273,2026-07-17T16:41:00,Social Media,There is an open road crack/pothole near a school in Miyapur. A elderly resident may be affected.,Roads,Miyapur,17.499604,78.355388,GHMC Roads Department,7,3,5,9,5,58,Medium,New,CL-370,1,0.38,Urgent,34,Dispatch road inspection team,,No
GRV-1274,2026-07-29T02:23:00,Call Center,Our apartment has not received drinking water for 2 days. A high-footfall public area may be affected.,Water Supply,Madhapur,17.448067,78.388476,Water Supply Department,8,8,4,5,6,64,Medium,Resolved,CL-216,2,0.4,Negative,18,Inspect local pipeline/network,21.0,No
GRV-1275,2026-07-26T09:33:00,Social Media,Waste is piling up near residential buildings in Secunderabad. A high-footfall public area may be affected.,Sanitation,Secunderabad,17.439871,78.500133,Sanitation Department,3,7,3,5,5,44,Low,Resolved,CL-153,2,0.68,Frustrated,48,Escalate to sanitation supervisor,26.8,No
GRV-1276,2026-07-30T06:35:00,Call Center,We are facing repeated power cuts in Madhapur. A elderly resident may be affected.,Electricity,Madhapur,17.446335,78.388043,Electricity Distribution Department,3,6,3,9,4,46,Low,New,CL-376,2,0.57,Frustrated,22,Escalate outage to field engineer,,No
GRV-1277,2026-08-13T00:30:00,Walk-in,Drain is blocked near Begumpet and water is accumulating.,Drainage,Begumpet,17.446436,78.467896,Storm Water & Drainage Department,5,6,2,8,3,48,Low,Resolved,CL-360,2,0.53,Urgent,21,Inspect storm-water line,21.0,No
GRV-1278,2026-07-27T07:53:00,Mobile App,Transformer near Secunderabad appears overloaded and outages are frequent. A senior citizens may be affected.,Electricity,Secunderabad,17.440468,78.497417,Electricity Distribution Department,8,5,2,3,6,52,Medium,Assigned,CL-336,1,0.39,Concerned,2,Dispatch line inspection team,,No
GRV-1279,2026-07-22T19:07:00,Social Media,Overflowing garbage bins are causing a hygiene issue. A hospital nearby may be affected.,Sanitation,Dilsukhnagar,17.364999,78.524561,Sanitation Department,6,4,7,9,8,66,Medium,Resolved,CL-313,2,0.47,Concerned,35,Increase collection frequency,41.3,No
GRV-1280,2026-07-31T20:45:00,Web,A broken road section is causing traffic problems near Madhapur.,Roads,Madhapur,17.449796,78.392254,GHMC Roads Department,4,9,3,8,3,52,Medium,In Progress,CL-162,3,0.74,Urgent,67,Dispatch road inspection team,,No
GRV-1281,2026-08-07T01:20:00,Mobile App,Overflowing garbage bins are causing a hygiene issue. A elderly resident may be affected.,Sanitation,Kukatpally,17.483089,78.409922,Sanitation Department,9,5,5,9,6,70,High,Escalated,CL-106,2,0.45,Urgent,40,Dispatch sanitation crew,,No
GRV-1282,2026-07-29T18:34:00,Web,A broken road section is causing traffic problems near Banjara Hills. A child may be affected.,Roads,Banjara Hills,17.412447,78.43113,GHMC Roads Department,8,9,6,9,4,74,High,New,CL-145,4,0.39,Urgent,40,Escalate to local engineering officer,,No
GRV-1283,2026-08-14T03:29:00,Walk-in,Transformer near Madhapur appears overloaded and outages are frequent. A school nearby may be affected.,Electricity,Madhapur,17.448064,78.39508,Electricity Distribution Department,4,8,3,8,8,58,Medium,In Progress,CL-381,6,0.4,Urgent,5,Inspect transformer/feed line,,No
GRV-1284,2026-08-04T00:54:00,Mobile App,The storm-water drain near Kukatpally is overflowing.,Drainage,Kukatpally,17.484964,78.413045,Storm Water & Drainage Department,5,6,9,2,2,51,Medium,Assigned,CL-347,3,0.41,Frustrated,11,Dispatch drainage crew,,No
GRV-1285,2026-07-18T03:21:00,Social Media,Uncollected waste is creating foul smell and health concerns. A residential community may be affected.,Sanitation,Secunderabad,17.442199,78.498656,Sanitation Department,7,6,5,6,4,58,Medium,Resolved,CL-311,3,0.88,Urgent,25,Increase collection frequency,23.0,No
GRV-1286,2026-07-18T07:38:00,Walk-in,A large pothole has formed near Secunderabad and is dangerous for vehicles. A senior citizens may be affected.,Roads,Secunderabad,17.438519,78.49946,GHMC Roads Department,6,5,3,8,8,58,Medium,Escalated,CL-409,3,0.52,Urgent,18,Dispatch road inspection team,,No
GRV-1287,2026-07-28T02:36:00,Call Center,Water pressure has been very low in Kondapur since 5 days.,Water Supply,Kondapur,17.465422,78.365362,Water Supply Department,6,7,6,5,8,64,Medium,Resolved,CL-434,2,0.46,Urgent,15,Initiate emergency tanker support,21.2,No
GRV-1288,2026-08-09T12:25:00,Walk-in,A large pothole has formed near Madhapur and is dangerous for vehicles.,Roads,Madhapur,17.448661,78.3928,GHMC Roads Department,9,5,3,8,5,62,Medium,Assigned,CL-297,5,0.48,Negative,52,Escalate to local engineering officer,,No
GRV-1289,2026-07-21T11:46:00,Web,There is an open road crack/pothole near a school in Miyapur. A child may be affected.,Roads,Miyapur,17.493998,78.359448,GHMC Roads Department,9,8,4,9,3,69,Medium,In Progress,CL-234,0,0.39,Negative,68,Escalate to local engineering officer,,No
GRV-1290,2026-07-15T15:36:00,Social Media,There is a hazardous open section near a school. A residential community may be affected.,Public Safety,Charminar,17.362211,78.470968,Public Safety Department,7,9,9,5,6,74,High,Resolved,CL-305,4,0.45,Urgent,9,Dispatch safety inspection team,4.7,No
GRV-1291,2026-07-19T02:15:00,Web,Drain is blocked near Mehdipatnam and water is accumulating. A child may be affected.,Drainage,Mehdipatnam,17.397673,78.450314,Storm Water & Drainage Department,8,7,6,9,8,76,High,In Progress,CL-371,4,0.63,Negative,21,Inspect storm-water line,,No
GRV-1292,2026-08-13T23:59:00,Walk-in,Blocked drainage is creating a severe sanitation problem. A residential community may be affected.,Drainage,Madhapur,17.448925,78.392083,Storm Water & Drainage Department,6,7,7,5,6,62,Medium,Escalated,CL-215,0,0.51,Concerned,15,Inspect storm-water line,,No
GRV-1293,2026-07-26T07:00:00,Mobile App,A broken streetlight is creating a safety risk at night. A child may be affected.,Public Safety,Charminar,17.362873,78.473658,Public Safety Department,3,9,6,9,5,60,Medium,In Progress,CL-389,2,0.68,Urgent,3,Escalate to local safety officer,,No
GRV-1294,2026-08-17T04:24:00,Mobile App,Uncollected waste is creating foul smell and health concerns.,Sanitation,Dilsukhnagar,17.369422,78.527435,Sanitation Department,5,3,4,6,3,42,Low,Escalated,CL-242,3,0.76,Frustrated,27,Dispatch sanitation crew,,No
GRV-1295,2026-08-06T23:55:00,Walk-in,There is a hazardous open section near a school. A hospital nearby may be affected.,Public Safety,Gachibowli,17.441528,78.352594,Public Safety Department,5,6,5,9,7,61,Medium,New,CL-314,1,0.61,Frustrated,8,Dispatch safety inspection team,,No
GRV-1296,2026-08-01T00:29:00,Social Media,Residents on our street are facing repeated water outages.,Water Supply,Kukatpally,17.483599,78.415322,Water Supply Department,9,5,7,4,5,64,Medium,Escalated,CL-249,4,0.49,Negative,13,Escalate to Zone Water Officer,,No
GRV-1297,2026-07-26T01:12:00,Social Media,Garbage has not been collected in Secunderabad for 6 days. A elderly resident may be affected.,Sanitation,Secunderabad,17.441153,78.500984,Sanitation Department,3,7,3,9,8,54,Medium,New,CL-102,2,0.47,Concerned,14,Dispatch sanitation crew,,No
GRV-1298,2026-07-18T13:40:00,Call Center,There is a hazardous open section near a school.,Public Safety,Madhapur,17.446359,78.393746,Public Safety Department,8,7,4,2,3,54,Medium,Resolved,CL-431,5,0.51,Concerned,9,Inspect hazardous location,5.2,No
GRV-1299,2026-08-11T20:31:00,Social Media,Our apartment has not received drinking water for 3 days.,Water Supply,Gachibowli,17.441247,78.352201,Water Supply Department,5,4,9,2,8,56,Medium,New,CL-255,1,0.68,Urgent,9,Inspect local pipeline/network,,No
GRV-1300,2026-07-29T09:57:00,Walk-in,Water pipeline near Madhapur appears damaged and residents have no supply. A elderly resident may be affected.,Water Supply,Madhapur,17.448125,78.390731,Water Supply Department,6,4,2,9,1,45,Low,In Progress,CL-440,5,0.49,Frustrated,18,Dispatch field inspection team,,No
GRV-1301,2026-07-29T20:05:00,Social Media,Drain is blocked near Kondapur and water is accumulating. A senior citizens may be affected.,Drainage,Kondapur,17.457815,78.363773,Storm Water & Drainage Department,5,5,6,5,1,46,Low,Resolved,CL-101,6,0.55,Negative,20,Clear blocked drain,10.1,No
GRV-1302,2026-08-09T15:15:00,Call Center,Our street has repeated missed waste collection complaints. A elderly resident may be affected.,Sanitation,Dilsukhnagar,17.368797,78.52842,Sanitation Department,8,6,5,9,3,64,Medium,Assigned,CL-364,5,0.45,Negative,43,Escalate to sanitation supervisor,,No
GRV-1303,2026-08-15T17:09:00,Social Media,No water supply in our locality for 1 days. A hospital nearby may be affected.,Water Supply,Madhapur,17.444666,78.39311,Water Supply Department,4,9,9,9,3,66,Medium,Escalated,CL-435,0,0.85,Urgent,21,Escalate to Zone Water Officer,,No
GRV-1304,2026-08-10T14:14:00,Walk-in,Water pipeline near Kondapur appears damaged and residents have no supply. A high-footfall public area may be affected.,Water Supply,Kondapur,17.460094,78.368507,Water Supply Department,9,7,3,8,2,62,Medium,Resolved,CL-388,6,0.62,Negative,8,Escalate to Zone Water Officer,6.3,No
GRV-1305,2026-07-25T17:59:00,Social Media,Overflowing garbage bins are causing a hygiene issue. A elderly resident may be affected.,Sanitation,Jubilee Hills,17.431609,78.404362,Sanitation Department,5,4,8,9,3,57,Medium,New,CL-361,3,0.65,Concerned,14,Escalate to sanitation supervisor,,No
GRV-1306,2026-08-06T15:28:00,Web,Residents on our street are facing repeated water outages.,Water Supply,Madhapur,17.44907,78.393238,Water Supply Department,6,8,9,7,3,67,Medium,New,CL-101,2,0.43,Urgent,19,Dispatch field inspection team,,No
GRV-1307,2026-08-12T11:13:00,Mobile App,Residents are reporting a recurring public safety concern. A person with disability may be affected.,Public Safety,Gachibowli,17.441582,78.352649,Public Safety Department,3,7,3,9,6,52,Medium,New,CL-145,5,0.6,Urgent,6,Initiate immediate risk mitigation,,No
GRV-1308,2026-07-17T13:59:00,Social Media,Power has been out in our area for 3 hours.,Electricity,Madhapur,17.445229,78.394661,Electricity Distribution Department,5,4,8,4,6,54,Medium,New,CL-324,5,0.37,Frustrated,19,Initiate emergency restoration,,No
GRV-1309,2026-07-23T20:24:00,Walk-in,The storm-water drain near Begumpet is overflowing. A person with disability may be affected.,Drainage,Begumpet,17.44046,78.471023,Storm Water & Drainage Department,3,5,5,9,2,46,Low,New,CL-213,6,0.75,Urgent,13,Escalate flooding risk to engineering team,,No
GRV-1310,2026-08-04T04:29:00,Call Center,The road near Gachibowli has been damaged for 2 days.,Roads,Gachibowli,17.440929,78.351216,GHMC Roads Department,5,4,7,3,1,43,Low,New,CL-426,0,0.5,Negative,38,Barricade hazardous section,,No
GRV-1311,2026-08-15T17:55:00,Social Media,Water is entering homes due to drainage blockage. A residential community may be affected.,Drainage,Begumpet,17.44687,78.47091,Storm Water & Drainage Department,4,7,9,8,8,68,Medium,New,CL-256,3,0.36,Concerned,13,Dispatch drainage crew,,No
GRV-1312,2026-07-15T20:44:00,Web,Power has been out in our area for 18 hours. A residential community may be affected.,Electricity,Gachibowli,17.436227,78.350252,Electricity Distribution Department,6,6,3,5,8,56,Medium,Resolved,CL-365,6,0.39,Urgent,15,Inspect transformer/feed line,4.7,No
GRV-1313,2026-07-31T18:57:00,Call Center,An unsafe public area near Secunderabad has recurring incidents.,Public Safety,Secunderabad,17.441484,78.4992,Public Safety Department,6,4,7,7,8,62,Medium,In Progress,CL-392,0,0.81,Negative,7,Escalate to local safety officer,,No
GRV-1314,2026-07-30T22:23:00,Mobile App,Residents are reporting a recurring public safety concern.,Public Safety,Madhapur,17.445407,78.390179,Public Safety Department,8,5,2,2,7,52,Medium,In Progress,CL-343,0,0.6,Concerned,4,Dispatch safety inspection team,,No
GRV-1315,2026-08-05T01:32:00,Social Media,A damaged electric pole is leaning dangerously near homes. A school nearby may be affected.,Public Safety,Secunderabad,17.443096,78.497916,Public Safety Department,5,7,8,4,1,52,Medium,Resolved,CL-411,3,0.55,Negative,10,Inspect hazardous location,8.1,No
GRV-1316,2026-07-21T15:31:00,Walk-in,A broken streetlight is creating a safety risk at night. A elderly resident may be affected.,Public Safety,Kukatpally,17.488657,78.414131,Public Safety Department,4,5,3,9,2,44,Low,Resolved,CL-275,5,0.5,Urgent,4,Escalate to local safety officer,4.1,No
GRV-1317,2026-08-11T21:50:00,Social Media,Transformer near Kondapur appears overloaded and outages are frequent. A child may be affected.,Electricity,Kondapur,17.461062,78.363133,Electricity Distribution Department,3,9,5,9,6,60,Medium,In Progress,CL-335,5,0.66,Frustrated,12,Inspect transformer/feed line,,No
GRV-1318,2026-08-10T17:59:00,Mobile App,Overflowing garbage bins are causing a hygiene issue.,Sanitation,Jubilee Hills,17.435315,78.408643,Sanitation Department,9,9,2,3,6,62,Medium,Escalated,CL-449,1,0.6,Concerned,22,Increase collection frequency,,No
GRV-1319,2026-07-21T15:23:00,Call Center,Repeated complaints about the damaged road have not been resolved. A child may be affected.,Roads,Miyapur,17.493872,78.353199,GHMC Roads Department,5,5,4,9,4,52,Medium,In Progress,CL-115,2,0.71,Negative,40,Escalate to local engineering officer,,No
GRV-1320,2026-08-03T04:21:00,Mobile App,Repeated complaints about the damaged road have not been resolved.,Roads,Gachibowli,17.441524,78.345835,GHMC Roads Department,5,8,6,5,5,58,Medium,New,CL-210,5,0.78,Urgent,56,Dispatch road inspection team,,No
GRV-1321,2026-08-07T07:54:00,Social Media,Power has been out in our area for 13 hours. A school nearby may be affected.,Electricity,Uppal,17.400155,78.560724,Electricity Distribution Department,7,8,5,6,4,62,Medium,Escalated,CL-449,0,0.46,Concerned,16,Dispatch line inspection team,,No
GRV-1322,2026-08-08T06:05:00,Walk-in,A damaged electric pole is leaning dangerously near homes. A hospital nearby may be affected.,Public Safety,Gachibowli,17.438409,78.351345,Public Safety Department,3,5,7,9,6,56,Medium,Escalated,CL-306,6,0.88,Concerned,5,Initiate immediate risk mitigation,,No
GRV-1323,2026-08-11T14:58:00,Social Media,An unsafe public area near Secunderabad has recurring incidents. A person with disability may be affected.,Public Safety,Secunderabad,17.441942,78.495395,Public Safety Department,6,9,7,9,2,66,Medium,Assigned,CL-381,3,0.4,Frustrated,6,Escalate to local safety officer,,No
GRV-1324,2026-08-11T15:53:00,Call Center,Power interruption has affected homes and local shops. A school nearby may be affected.,Electricity,Kondapur,17.460837,78.364635,Electricity Distribution Department,7,8,9,3,1,61,Medium,In Progress,CL-428,2,0.43,Negative,22,Inspect transformer/feed line,,No
GRV-1325,2026-07-20T10:23:00,Call Center,Residents on our street are facing repeated water outages.,Water Supply,Madhapur,17.445603,78.387968,Water Supply Department,7,6,8,8,5,68,Medium,Escalated,CL-136,6,0.88,Frustrated,22,Inspect local pipeline/network,,No
GRV-1326,2026-07-18T14:32:00,Mobile App,Power has been out in our area for 7 hours. A pregnant resident may be affected.,Electricity,Kukatpally,17.48525,78.41678,Electricity Distribution Department,6,8,7,9,1,63,Medium,Resolved,CL-118,5,0.51,Concerned,8,Escalate outage to field engineer,3.8,No
GRV-1327,2026-07-19T16:13:00,Social Media,Waste is piling up near residential buildings in Dilsukhnagar. A elderly resident may be affected.,Sanitation,Dilsukhnagar,17.369707,78.527351,Sanitation Department,7,5,7,9,8,70,High,In Progress,CL-403,1,0.53,Frustrated,21,Dispatch sanitation crew,,No
GRV-1328,2026-07-16T13:47:00,Mobile App,Power has been out in our area for 6 hours. A residential community may be affected.,Electricity,Secunderabad,17.438359,78.495979,Electricity Distribution Department,5,8,7,3,8,62,Medium,New,CL-236,2,0.44,Concerned,5,Dispatch line inspection team,,No
GRV-1329,2026-07-17T04:04:00,Web,A damaged electric pole is creating a safety concern.,Electricity,Kukatpally,17.488261,78.411443,Electricity Distribution Department,3,4,3,2,1,28,Low,Escalated,CL-400,2,0.41,Frustrated,11,Inspect transformer/feed line,,No
GRV-1330,2026-07-19T13:52:00,Call Center,The road near Secunderabad has been damaged for 1 days.,Roads,Secunderabad,17.437274,78.500332,GHMC Roads Department,5,7,7,4,3,54,Medium,Resolved,CL-446,0,0.62,Urgent,49,Dispatch road inspection team,39.8,No
GRV-1331,2026-07-25T01:26:00,Mobile App,A damaged electric pole is leaning dangerously near homes.,Public Safety,Madhapur,17.448267,78.39039,Public Safety Department,4,6,3,3,6,44,Low,Resolved,CL-333,4,0.58,Frustrated,3,Inspect hazardous location,2.8,No
GRV-1332,2026-08-02T14:12:00,Mobile App,Blocked drainage is creating a severe sanitation problem. A child may be affected.,Drainage,Dilsukhnagar,17.364902,78.526093,Storm Water & Drainage Department,5,6,6,9,8,64,Medium,Resolved,CL-294,2,0.65,Urgent,8,Dispatch drainage crew,10.0,No
GRV-1333,2026-07-23T21:38:00,Walk-in,A damaged electric pole is creating a safety concern. A hospital nearby may be affected.,Electricity,Secunderabad,17.438128,78.500008,Electricity Distribution Department,7,3,4,9,2,52,Medium,New,CL-385,2,0.88,Concerned,14,Escalate outage to field engineer,,No
GRV-1334,2026-08-11T03:08:00,Web,There is a hazardous open section near a school. A local shops may be affected.,Public Safety,Secunderabad,17.439885,78.494514,Public Safety Department,4,9,9,2,2,54,Medium,New,CL-146,1,0.61,Concerned,2,Escalate to local safety officer,,No
GRV-1335,2026-08-05T06:32:00,Social Media,Power interruption has affected homes and local shops.,Electricity,Uppal,17.397141,78.562912,Electricity Distribution Department,9,3,9,8,8,75,High,In Progress,CL-338,3,0.51,Urgent,10,Initiate emergency restoration,,No
GRV-1336,2026-08-14T20:24:00,Social Media,Water pipeline near Gachibowli appears damaged and residents have no supply. A residential community may be affected.,Water Supply,Gachibowli,17.440678,78.348707,Water Supply Department,3,4,6,7,3,44,Low,Resolved,CL-341,2,0.58,Frustrated,21,Escalate to Zone Water Officer,18.8,No
GRV-1337,2026-07-17T06:08:00,Call Center,Water is entering homes due to drainage blockage.,Drainage,Madhapur,17.447345,78.390925,Storm Water & Drainage Department,7,8,7,8,5,70,High,Assigned,CL-206,4,0.38,Concerned,17,Inspect storm-water line,,No
GRV-1338,2026-07-16T04:34:00,Social Media,We are facing repeated power cuts in Kondapur. A person with disability may be affected.,Electricity,Kondapur,17.461618,78.364069,Electricity Distribution Department,5,7,3,9,2,52,Medium,New,CL-308,1,0.41,Concerned,12,Dispatch line inspection team,,No
GRV-1339,2026-08-18T22:48:00,Walk-in,Residents are reporting a recurring public safety concern. A hospital nearby may be affected.,Public Safety,Secunderabad,17.437514,78.499384,Public Safety Department,7,3,9,9,2,62,Medium,Assigned,CL-293,4,0.53,Urgent,12,Dispatch safety inspection team,,No
GRV-1340,2026-07-18T04:36:00,Web,The storm-water drain near Kondapur is overflowing.,Drainage,Kondapur,17.462712,78.363115,Storm Water & Drainage Department,6,9,5,6,2,58,Medium,In Progress,CL-137,2,0.67,Negative,22,Inspect storm-water line,,No
GRV-1341,2026-08-12T12:52:00,Social Media,A damaged electric pole is creating a safety concern. A person with disability may be affected.,Electricity,Kukatpally,17.487722,78.417055,Electricity Distribution Department,7,6,4,9,1,56,Medium,Assigned,CL-407,1,0.66,Urgent,16,Dispatch line inspection team,,No
GRV-1342,2026-07-18T01:40:00,Call Center,Heavy rain has caused waterlogging in Kondapur. A child may be affected.,Drainage,Kondapur,17.462995,78.362589,Storm Water & Drainage Department,8,9,6,9,7,78,High,Resolved,CL-241,6,0.52,Frustrated,12,Clear blocked drain,6.3,No
GRV-1343,2026-07-16T13:16:00,Web,Our apartment has not received drinking water for 1 days. A residential community may be affected.,Water Supply,Kondapur,17.46521,78.364587,Water Supply Department,7,6,8,7,1,61,Medium,Escalated,CL-125,1,0.44,Urgent,14,Dispatch field inspection team,,No
GRV-1344,2026-08-05T16:59:00,Social Media,No water supply in our locality for 5 days.,Water Supply,Madhapur,17.446314,78.394577,Water Supply Department,6,5,3,5,3,46,Low,In Progress,CL-443,5,0.41,Urgent,9,Escalate to Zone Water Officer,,No
GRV-1345,2026-08-09T11:03:00,Call Center,Heavy rain has caused waterlogging in Madhapur.,Drainage,Madhapur,17.448666,78.391299,Storm Water & Drainage Department,4,4,3,3,4,36,Low,In Progress,CL-228,2,0.59,Concerned,21,Clear blocked drain,,No
GRV-1346,2026-08-11T14:44:00,Walk-in,Overflowing garbage bins are causing a hygiene issue. A elderly resident may be affected.,Sanitation,Jubilee Hills,17.431708,78.410378,Sanitation Department,7,3,2,9,4,50,Medium,Resolved,CL-260,2,0.65,Concerned,35,Escalate to sanitation supervisor,36.6,No
GRV-1347,2026-08-17T14:31:00,Walk-in,Overflowing garbage bins are causing a hygiene issue. A person with disability may be affected.,Sanitation,Madhapur,17.451314,78.394062,Sanitation Department,4,6,7,9,7,62,Medium,Escalated,CL-285,0,0.5,Negative,42,Increase collection frequency,,No
GRV-1348,2026-08-11T05:28:00,Call Center,There is a hazardous open section near a school. A high-footfall public area may be affected.,Public Safety,Gachibowli,17.43861,78.345558,Public Safety Department,9,7,7,5,1,64,Medium,New,CL-360,1,0.7,Negative,12,Escalate to local safety officer,,No
GRV-1349,2026-07-18T22:26:00,Social Media,A broken road section is causing traffic problems near Banjara Hills. A residential community may be affected.,Roads,Banjara Hills,17.413396,78.438285,GHMC Roads Department,9,8,4,4,3,62,Medium,New,CL-441,1,0.78,Concerned,35,Barricade hazardous section,,No
GRV-1350,2026-08-08T12:07:00,Walk-in,No water supply in our locality for 3 days. A hospital nearby may be affected.,Water Supply,Gachibowli,17.442718,78.348853,Water Supply Department,6,7,6,9,3,62,Medium,Escalated,CL-435,1,0.87,Negative,6,Escalate to Zone Water Officer,,No
GRV-1351,2026-08-15T08:43:00,Web,A damaged electric pole is leaning dangerously near homes.,Public Safety,Banjara Hills,17.413922,78.432794,Public Safety Department,6,4,8,8,4,60,Medium,Assigned,CL-237,2,0.89,Urgent,5,Initiate immediate risk mitigation,,No
GRV-1352,2026-08-09T19:16:00,Call Center,There is an open road crack/pothole near a school in Madhapur. A child may be affected.,Roads,Madhapur,17.451749,78.391267,GHMC Roads Department,5,8,8,9,4,66,Medium,New,CL-159,5,0.73,Frustrated,16,Schedule pothole repair,,No
GRV-1353,2026-08-05T08:59:00,Walk-in,Water is entering homes due to drainage blockage.,Drainage,Dilsukhnagar,17.365934,78.521635,Storm Water & Drainage Department,5,6,7,3,1,47,Low,Resolved,CL-335,4,0.49,Urgent,16,Dispatch drainage crew,4.9,No
GRV-1354,2026-08-15T18:31:00,Walk-in,There is an open road crack/pothole near a school in Gachibowli. A pregnant resident may be affected.,Roads,Gachibowli,17.436526,78.346089,GHMC Roads Department,5,7,6,9,6,64,Medium,Resolved,CL-362,2,0.83,Frustrated,60,Barricade hazardous section,50.9,No
GRV-1355,2026-08-15T01:55:00,Call Center,There is an open road crack/pothole near a school in Kukatpally. A residential community may be affected.,Roads,Kukatpally,17.482345,78.411146,GHMC Roads Department,6,3,9,4,8,60,Medium,New,CL-161,6,0.62,Frustrated,21,Schedule pothole repair,,No
GRV-1356,2026-07-27T11:43:00,Web,Water is entering homes due to drainage blockage.,Drainage,Dilsukhnagar,17.371496,78.52193,Storm Water & Drainage Department,4,6,3,3,8,46,Low,Assigned,CL-443,0,0.83,Negative,9,Dispatch drainage crew,,No
GRV-1357,2026-08-11T19:18:00,Walk-in,Power interruption has affected homes and local shops.,Electricity,Kukatpally,17.48164,78.411841,Electricity Distribution Department,5,3,9,4,3,50,Medium,Resolved,CL-354,6,0.82,Urgent,12,Inspect transformer/feed line,13.9,No
GRV-1358,2026-08-15T17:51:00,Call Center,We are facing repeated power cuts in Gachibowli. A hospital nearby may be affected.,Electricity,Gachibowli,17.440201,78.348817,Electricity Distribution Department,6,5,4,9,2,52,Medium,Resolved,CL-224,3,0.62,Concerned,11,Initiate emergency restoration,10.8,No
GRV-1359,2026-07-24T21:41:00,Social Media,Transformer near Kondapur appears overloaded and outages are frequent. A high-footfall public area may be affected.,Electricity,Kondapur,17.458172,78.364446,Electricity Distribution Department,6,8,8,2,1,54,Medium,Escalated,CL-334,5,0.88,Concerned,23,Dispatch line inspection team,,No
GRV-1360,2026-08-02T11:26:00,Call Center,We are facing repeated power cuts in Kondapur. A local shops may be affected.,Electricity,Kondapur,17.460344,78.365385,Electricity Distribution Department,5,7,2,6,2,45,Low,In Progress,CL-408,4,0.63,Negative,5,Dispatch line inspection team,,No
GRV-1361,2026-08-10T22:51:00,Mobile App,Water pipeline near Manikonda appears damaged and residents have no supply. A elderly resident may be affected.,Water Supply,Manikonda,17.402689,78.373626,Water Supply Department,6,8,6,9,6,68,Medium,Assigned,CL-407,3,0.76,Frustrated,14,Inspect local pipeline/network,,No
GRV-1362,2026-08-10T00:46:00,Call Center,A broken streetlight is creating a safety risk at night. A hospital nearby may be affected.,Public Safety,Madhapur,17.449825,78.395205,Public Safety Department,3,4,9,9,8,60,Medium,Assigned,CL-357,5,0.82,Frustrated,9,Initiate immediate risk mitigation,,No
